month|files|sum_bytes|avg_bytes|sum_tools|avg_tools|sum_safety|safety_per_klines|sum_tags|avg_tags
2024-06|1|22967|22967|0|0.0|1|4.90|45|45.0
2025-02|1|6630|6630|6|6.0|2|36.36|0|0.0
2025-04|6|73935|12322|31|5.2|27|22.09|151|25.2
2025-05|2|127900|63950|3|1.5|26|33.99|233|116.5
2025-06|2|11583|5791|1|0.5|5|44.25|0|0.0
2025-07|4|19111|4777|10|2.5|1|3.15|11|2.8
2025-08|1|58212|58212|2|2.0|12|24.29|51|51.0
2025-09|4|155899|38974|53|13.2|31|21.26|205|51.2
2025-11|3|107404|35801|18|6.0|15|10.75|162|54.0
2026-02|1|102687|102687|14|14.0|8|7.64|253|253.0
2026-04|2|199211|99605|18|9.0|16|9.45|259|129.5
2026-06|1|122750|122750|18|18.0|15|9.39|13|13.0
