file|never|mustnot|forbidden|donot|total|lines|per_klines
ANTHROPIC/CLAUDE-FABLE-5.md|13|1|0|1|15|1597|9.39
ANTHROPIC/Claude-4.1.txt|10|0|0|2|12|494|24.29
ANTHROPIC/Claude-4.5-Opus.txt|12|0|0|3|15|1222|12.27
ANTHROPIC/Claude-Design-Sys-Prompt.txt|3|0|0|2|5|422|11.85
ANTHROPIC/Claude-Opus-4.7.txt|14|1|0|1|16|1408|11.36
ANTHROPIC/Claude_4.txt|11|0|0|2|13|368|35.33
ANTHROPIC/Claude_Code_03-04-24.md|0|0|0|0|0|50|0.00
ANTHROPIC/Claude_Opus_4.6.txt|7|0|0|1|8|1047|7.64
ANTHROPIC/Claude_Sonnet-4.5_Sep-29-2025.txt|20|0|0|5|25|520|48.08
ANTHROPIC/Claude_Sonnet_3.5.md|0|0|0|1|1|204|4.90
ANTHROPIC/Claude_Sonnet_3.7_New.txt|10|0|0|3|13|397|32.75
ANTHROPIC/UserStyle_Modes.md|0|0|0|0|0|14|0.00
BOLT/Bolt.txt|19|0|4|8|31|315|98.41
BRAVE/LEO_Aug-31-2025|0|0|0|0|0|43|0.00
CLINE/Cline.md|2|0|1|6|9|576|15.62
CLUELY/Cluely.mkd|6|0|0|0|6|94|63.83
CURSOR/Cursor_2.0_Sys_Prompt.txt|16|0|0|2|18|432|41.67
CURSOR/Cursor_Prompt.md|7|0|0|2|9|54|166.67
CURSOR/Cursor_Tools.md|0|0|0|1|1|71|14.08
DEVIN/Devin2_09-08-2025.md|2|0|0|1|3|561|5.35
DEVIN/Devin_2.0.md|1|0|0|0|1|63|15.87
DEVIN/Devin_2.0_Commands.md|0|0|0|1|1|344|2.91
DIA/Dia_CodingSkill.txt|11|1|0|5|17|258|65.89
DIA/Dia_DraftSkill.txt|5|0|0|0|5|95|52.63
FACTORY/DROID.txt|1|1|0|1|3|334|8.98
GOOGLE/Gemini-2.5-Pro-04-18-2025.md|0|0|0|1|1|293|3.41
GOOGLE/Gemini_Diffusion.md|0|0|0|0|0|60|0.00
GOOGLE/Gemini_Gmail_Assistant.txt|0|0|0|4|4|54|74.07
HUME/Hume_Voice_AI.md|4|0|0|0|4|59|67.80
LOVABLE/Lovable_2.0.txt|1|0|0|2|3|353|8.50
MANUS/Manus_Functions.txt|0|0|0|0|0|249|0.00
MANUS/Manus_Prompt.txt|0|0|0|0|0|282|0.00
META/Llama4_WhatsApp.txt|0|0|0|0|0|26|0.00
META/Muse_Spark_Apr-08-26.txt|0|0|0|0|0|286|0.00
MINIMAX/MiniMax.txt|0|0|0|0|0|18|0.00
MISTRAL/LeChat.md|0|0|0|2|2|55|36.36
MOONSHOT/Kimi_2_July-11-2025.txt|0|0|0|0|0|22|0.00
MOONSHOT/Kimi_K2_Thinking.txt|0|0|0|0|0|10|0.00
MULTION/MultiOn.md|1|0|0|0|1|93|10.75
OPENAI/Atlas_10-21-25.txt|0|0|0|7|7|470|14.89
OPENAI/ChatGPT-4o_Sep-27-25.txt|0|0|0|0|0|161|0.00
OPENAI/ChatGPT5-08-07-2025.mkd|0|0|0|8|8|417|19.18
OPENAI/ChatGPT_4.1_05-15-2025.txt|0|0|0|3|3|136|22.06
OPENAI/ChatGPT_4o_04-25-2025.txt|0|0|0|1|1|133|7.52
OPENAI/ChatGPT_Personality_v2_Change.md|0|0|0|0|0|7|0.00
OPENAI/ChatGPT_o3_o4-mini_04-16-2025|1|0|0|1|2|253|7.91
OPENAI/ChatKit_Docs__Oct-6-25.txt|1|0|0|0|1|1714|0.58
OPENAI/Codex.md|0|0|0|1|1|90|11.11
OPENAI/Codex_Sep-15-2025.md|0|1|0|3|4|183|21.86
OPENAI/GPT-4.5_02-27-25.md|3|0|0|3|6|122|49.18
OPENAI/GPT-4o_Image_Gen_Postfill.txt|0|0|0|0|0|2|0.00
PERPLEXITY/Perplexity_Deep_Research.txt|1|0|0|0|1|120|8.33
REPLIT/Replit_Agent.md|0|0|0|2|2|102|19.61
REPLIT/Replit_Functions.md|0|0|0|0|0|2|0.00
REPLIT/Replit_Initial_Code_Generation_Prompt.md|0|0|0|1|1|101|9.90
SAMEDEV/Same_Dev.txt|8|0|0|3|11|296|37.16
VERCEL V0/Vercel_v0.txt|2|4|0|2|8|369|21.68
WINDSURF/Windsurf_Prompt.md|7|0|0|5|12|96|125.00
WINDSURF/Windsurf_Tools.md|2|0|0|1|3|472|6.36
XAI/GROK-4-NEW_Jul-13-2025|0|0|0|0|0|256|0.00
XAI/GROK-4.1_Nov-17-2025.txt|0|0|0|0|0|163|0.00
XAI/GROK-4.20.mkd|0|0|0|1|1|84|11.90
XAI/Grok-Code-Fast-1_Aug-26-2025.txt|0|0|0|0|0|56|0.00
XAI/Grok3.md|0|0|0|0|0|30|0.00
XAI/Grok3_updated_07-08-2025.md|1|0|0|0|1|37|27.03
XAI/Grok4-July-10-2025.md|0|0|0|0|0|232|0.00
