bytes|lines|words|chars|file
149724|1408|21177|149442|ANTHROPIC/Claude-Opus-4.7.txt
122750|1597|17501|122428|ANTHROPIC/CLAUDE-FABLE-5.md
102687|1047|14190|102617|ANTHROPIC/Claude_Opus_4.6.txt
92710|1222|13194|92620|ANTHROPIC/Claude-4.5-Opus.txt
85298|520|13015|85264|ANTHROPIC/Claude_Sonnet-4.5_Sep-29-2025.txt
73266|422|9707|73033|ANTHROPIC/Claude-Design-Sys-Prompt.txt
73121|1714|9193|73063|OPENAI/ChatKit_Docs__Oct-6-25.txt
64487|368|9741|64473|ANTHROPIC/Claude_4.txt
63413|397|9598|63403|ANTHROPIC/Claude_Sonnet_3.7_New.txt
58212|494|8884|58198|ANTHROPIC/Claude-4.1.txt
50815|561|8195|50811|DEVIN/Devin2_09-08-2025.md
49487|286|6458|49459|META/Muse_Spark_Apr-08-26.txt
47221|576|7321|47221|CLINE/Cline.md
33468|470|5312|33404|OPENAI/Atlas_10-21-25.txt
29591|344|4606|29589|DEVIN/Devin_2.0_Commands.md
27816|417|4264|27685|OPENAI/ChatGPT5-08-07-2025.mkd
25950|249|3227|25950|MANUS/Manus_Functions.txt
24803|472|3455|24803|WINDSURF/Windsurf_Tools.md
23082|432|3757|23082|CURSOR/Cursor_2.0_Sys_Prompt.txt
22967|204|3542|22961|ANTHROPIC/Claude_Sonnet_3.5.md
22145|296|3687|22041|SAMEDEV/Same_Dev.txt
21506|258|3289|21178|DIA/Dia_CodingSkill.txt
20786|2|2771|20786|REPLIT/Replit_Functions.md
20059|369|2951|19955|VERCEL V0/Vercel_v0.txt
16815|334|2459|16777|FACTORY/DROID.txt
16704|353|2405|16600|LOVABLE/Lovable_2.0.txt
16190|315|2157|16084|BOLT/Bolt.txt
15434|253|2221|15358|OPENAI/ChatGPT_o3_o4-mini_04-16-2025
15306|84|2143|15304|XAI/GROK-4.20.mkd
13972|282|2085|13972|MANUS/Manus_Prompt.txt
13739|163|2085|13737|XAI/GROK-4.1_Nov-17-2025.txt
11992|293|1604|11987|GOOGLE/Gemini-2.5-Pro-04-18-2025.md
11753|183|1926|11697|OPENAI/Codex_Sep-15-2025.md
10090|232|1467|10008|XAI/Grok4-July-10-2025.md
9869|256|1445|9677|XAI/GROK-4-NEW_Jul-13-2025
9311|93|1495|9290|MULTION/MultiOn.md
9216|136|1440|9206|OPENAI/ChatGPT_4.1_05-15-2025.txt
9088|95|1367|8922|DIA/Dia_DraftSkill.txt
8957|96|1460|8957|WINDSURF/Windsurf_Prompt.md
8871|161|1376|8829|OPENAI/ChatGPT-4o_Sep-27-25.txt
8626|133|1360|8618|OPENAI/ChatGPT_4o_04-25-2025.txt
8574|122|1351|8570|OPENAI/GPT-4.5_02-27-25.md
7622|120|1228|7618|PERPLEXITY/Perplexity_Deep_Research.txt
7198|71|1216|7198|CURSOR/Cursor_Tools.md
6716|102|1011|6716|REPLIT/Replit_Agent.md
6630|55|1089|6630|MISTRAL/LeChat.md
6541|60|896|6541|GOOGLE/Gemini_Diffusion.md
6242|90|1021|6238|OPENAI/Codex.md
6056|63|1033|6056|DEVIN/Devin_2.0.md
5469|54|939|5469|CURSOR/Cursor_Prompt.md
4771|94|757|4759|CLUELY/Cluely.mkd
4554|54|743|4542|GOOGLE/Gemini_Gmail_Assistant.txt
4505|101|627|4499|REPLIT/Replit_Initial_Code_Generation_Prompt.md
4436|59|705|4436|HUME/Hume_Voice_AI.md
3949|26|663|3949|META/Llama4_WhatsApp.txt
3917|56|540|3915|XAI/Grok-Code-Fast-1_Aug-26-2025.txt
3749|14|566|3749|ANTHROPIC/UserStyle_Modes.md
3652|37|644|3652|XAI/Grok3_updated_07-08-2025.md
2971|43|482|2967|BRAVE/LEO_Aug-31-2025
2851|30|502|2851|XAI/Grok3.md
2495|18|365|2495|MINIMAX/MiniMax.txt
1642|50|264|1642|ANTHROPIC/Claude_Code_03-04-24.md
1420|22|209|1404|MOONSHOT/Kimi_2_July-11-2025.txt
1199|7|187|1195|OPENAI/ChatGPT_Personality_v2_Change.md
955|10|143|955|MOONSHOT/Kimi_K2_Thinking.txt
278|2|54|278|OPENAI/GPT-4o_Image_Gen_Postfill.txt
