file|xml_open|xml_close|curly|ns|selfclose|lines|total_tags|density
ANTHROPIC/CLAUDE-FABLE-5.md|4|1|8|0|0|1597|13|0.0081
ANTHROPIC/Claude-4.1.txt|32|19|0|0|0|494|51|0.1032
ANTHROPIC/Claude-4.5-Opus.txt|0|0|157|0|0|1222|157|0.1285
ANTHROPIC/Claude-Design-Sys-Prompt.txt|97|59|2|0|0|422|158|0.3744
ANTHROPIC/Claude-Opus-4.7.txt|37|0|186|0|0|1408|223|0.1584
ANTHROPIC/Claude_4.txt|88|62|0|4|0|368|154|0.4185
ANTHROPIC/Claude_Code_03-04-24.md|0|0|0|0|0|50|0|0.0000
ANTHROPIC/Claude_Opus_4.6.txt|132|119|2|18|0|1047|271|0.2588
ANTHROPIC/Claude_Sonnet-4.5_Sep-29-2025.txt|21|6|6|0|0|520|33|0.0635
ANTHROPIC/Claude_Sonnet_3.5.md|22|19|4|0|0|204|45|0.2206
ANTHROPIC/Claude_Sonnet_3.7_New.txt|53|23|0|0|3|397|79|0.1990
ANTHROPIC/UserStyle_Modes.md|0|0|0|0|0|14|0|0.0000
BOLT/Bolt.txt|71|21|0|0|0|315|92|0.2921
BRAVE/LEO_Aug-31-2025|5|0|0|0|0|43|5|0.1163
CLINE/Cline.md|75|70|0|0|0|576|145|0.2517
CLUELY/Cluely.mkd|1|1|0|0|0|94|2|0.0213
CURSOR/Cursor_2.0_Sys_Prompt.txt|3|1|0|0|0|432|4|0.0093
CURSOR/Cursor_Prompt.md|2|0|0|0|0|54|2|0.0370
CURSOR/Cursor_Tools.md|0|0|0|0|0|71|0|0.0000
DEVIN/Devin2_09-08-2025.md|80|21|3|0|39|561|143|0.2549
DEVIN/Devin_2.0.md|2|0|1|0|1|63|4|0.0635
DEVIN/Devin_2.0_Commands.md|59|17|1|0|27|344|104|0.3023
DIA/Dia_CodingSkill.txt|0|0|25|0|0|258|25|0.0969
DIA/Dia_DraftSkill.txt|0|0|0|0|0|95|0|0.0000
FACTORY/DROID.txt|12|12|0|0|0|334|24|0.0719
GOOGLE/Gemini-2.5-Pro-04-18-2025.md|5|5|8|0|0|293|18|0.0614
GOOGLE/Gemini_Diffusion.md|22|1|0|0|0|60|23|0.3833
GOOGLE/Gemini_Gmail_Assistant.txt|1|0|0|0|0|54|1|0.0185
HUME/Hume_Voice_AI.md|0|0|0|0|0|59|0|0.0000
LOVABLE/Lovable_2.0.txt|19|19|1|1|0|353|40|0.1133
MANUS/Manus_Functions.txt|4|0|0|0|0|249|4|0.0161
MANUS/Manus_Prompt.txt|26|24|0|0|0|282|50|0.1773
META/Llama4_WhatsApp.txt|0|0|0|0|0|26|0|0.0000
META/Muse_Spark_Apr-08-26.txt|15|8|5|8|0|286|36|0.1259
MINIMAX/MiniMax.txt|0|0|0|0|0|18|0|0.0000
MISTRAL/LeChat.md|0|0|0|0|0|55|0|0.0000
MOONSHOT/Kimi_2_July-11-2025.txt|0|0|0|0|0|22|0|0.0000
MOONSHOT/Kimi_K2_Thinking.txt|0|0|0|0|0|10|0|0.0000
MULTION/MultiOn.md|0|0|0|0|0|93|0|0.0000
OPENAI/Atlas_10-21-25.txt|1|1|1|0|0|470|3|0.0064
OPENAI/ChatGPT-4o_Sep-27-25.txt|0|0|3|0|0|161|3|0.0186
OPENAI/ChatGPT5-08-07-2025.mkd|0|0|2|0|0|417|2|0.0048
OPENAI/ChatGPT_4.1_05-15-2025.txt|0|0|0|0|0|136|0|0.0000
OPENAI/ChatGPT_4o_04-25-2025.txt|0|0|0|0|0|133|0|0.0000
OPENAI/ChatGPT_Personality_v2_Change.md|0|0|0|0|0|7|0|0.0000
OPENAI/ChatGPT_o3_o4-mini_04-16-2025|0|0|0|0|0|253|0|0.0000
OPENAI/ChatKit_Docs__Oct-6-25.txt|46|24|13|0|2|1714|85|0.0496
OPENAI/Codex.md|0|0|0|0|0|90|0|0.0000
OPENAI/Codex_Sep-15-2025.md|10|2|0|0|0|183|12|0.0656
OPENAI/GPT-4.5_02-27-25.md|1|0|0|0|0|122|1|0.0082
OPENAI/GPT-4o_Image_Gen_Postfill.txt|0|0|0|0|0|2|0|0.0000
PERPLEXITY/Perplexity_Deep_Research.txt|17|9|0|0|0|120|26|0.2167
REPLIT/Replit_Agent.md|0|0|0|0|0|102|0|0.0000
REPLIT/Replit_Functions.md|1|0|0|0|0|2|1|0.5000
REPLIT/Replit_Initial_Code_Generation_Prompt.md|7|4|0|0|0|101|11|0.1089
SAMEDEV/Same_Dev.txt|12|4|2|0|0|296|18|0.0608
VERCEL V0/Vercel_v0.txt|37|7|4|0|18|369|66|0.1789
WINDSURF/Windsurf_Prompt.md|11|11|0|0|0|96|22|0.2292
WINDSURF/Windsurf_Tools.md|1|0|1|0|0|472|2|0.0042
XAI/GROK-4-NEW_Jul-13-2025|4|4|0|4|0|256|12|0.0469
XAI/GROK-4.1_Nov-17-2025.txt|4|1|0|0|0|163|5|0.0307
XAI/GROK-4.20.mkd|0|0|0|0|0|84|0|0.0000
XAI/Grok-Code-Fast-1_Aug-26-2025.txt|0|0|0|0|0|56|0|0.0000
XAI/Grok3.md|0|0|0|0|0|30|0|0.0000
XAI/Grok3_updated_07-08-2025.md|0|0|0|0|0|37|0|0.0000
XAI/Grok4-July-10-2025.md|4|4|0|3|0|232|11|0.0474
