vendor|files|lines|bytes|words
ANTHROPIC|12|7743|840905|121379
OPENAI|12|3688|204598|29705
DEVIN|3|968|86462|13834
XAI|7|858|59424|8826
META|2|312|53436|7121
CLINE|1|576|47221|7321
MANUS|2|531|39922|5312
CURSOR|3|557|35749|5912
WINDSURF|2|568|33760|4915
REPLIT|3|205|32007|4409
DIA|2|353|30594|4656
GOOGLE|3|407|23087|3243
SAMEDEV|1|296|22145|3687
VERCEL V0|1|369|20059|2951
FACTORY|1|334|16815|2459
LOVABLE|1|353|16704|2405
BOLT|1|315|16190|2157
MULTION|1|93|9311|1495
PERPLEXITY|1|120|7622|1228
MISTRAL|1|55|6630|1089
CLUELY|1|94|4771|757
HUME|1|59|4436|705
BRAVE|1|43|2971|482
MINIMAX|1|18|2495|365
MOONSHOT|2|32|2375|352
